Station name;Lat;Lon;H_ellips;X_ECEF;Y_ECEF;Z_ECEF
ALGC;0.630256617;-0.095018724;117.2034038;5135570.5;-489449.25;3738222
ALJI;0.637566763;-0.09860039;477.8210862;5106678;-505158.5625;3775884.25
ALME;0.643198084;-0.042925407;127.4822275;5105220;-219278.3438;3804387.25
ALMR;0.643375;-0.04260132;198.6047078;5104673.5;-217597.4844;3805330
ANDU;0.663929905;-0.070342122;283.5379249;5017453;-353521.5625;3909149.75
ARAC;0.66137299;-0.114587935;724.931587;5007190.5;-576288.125;3896600.75
AREZ;0.660352865;-0.033867506;1138.127798;5041660.5;-170813.7813;3891732
CAAL;0.649630676;-0.044464085;2210.518878;5081921;-226112;3838298
CABR;0.653939228;-0.077217408;572.2779619;5053918.5;-391027.9688;3859090.25
CARG;0.656184527;-0.016996875;57.23991368;5059185;-85998.61719;3870099.75
CAST;0.665367077;-0.114007402;782.886357;4992028;-571606.8125;3916652.75
CAZA;0.662140935;-0.100527059;663.0134871;5011763.5;-505521.875;3900416
CEU1;0.626433127;-0.092613959;52.18003227;5150907.5;-478414.5625;3718518.5
COBA;0.661752185;-0.082398844;202.1974672;5021256;-414684.625;3898182.5
CRDB;0.661085409;-0.083563393;196.1382421;5023360.5;-420748.8438;3894832.5
EPCU;0.699520039;-0.037462762;998.4476729;4884360;-183067.2656;4085390.5
GRA1;0.649086287;-0.062769024;823.0120424;5077917.5;-319155.1875;3834701.25
HUEL;0.64926218;-0.120781924;81.92003253;5049613;-612885.1875;3835144.25
HULV;0.650663791;-0.120664021;116.2676789;5044358;-611643.875;3842260.5
HUOV;0.652780455;-0.033896377;352.2021789;5070413.5;-171934.5;3853105
LEBR;0.644417942;-0.106149612;77.45959257;5076496;-540901.1875;3810561
LIJA;0.644135451;-0.094313966;1008.585161;5084357.5;-480952.8125;3809684
LOJA;0.647644073;-0.071669324;1338.653729;5080810.5;-364763;3827701.75
MALA;0.640991666;-0.076681528;119.7010825;5103282;-392096.2813;3793147.25
MELI;0.615772932;-0.051516019;88.70294051;5205628;-268410.7188;3663428.5
MLGA;0.640808139;-0.077412428;115.7074282;5103686.5;-395879.875;3792209.5
MOFR;0.647878928;-0.095336653;276.3218165;5069015;-484732.4063;3828251.75
MOTR;0.641491736;-0.06144462;166.878492;5106803;-314181.0625;3795723.5
NEVA;0.646864835;-0.059090504;2934.942676;5089251.5;-301076.9375;3824710.25
OSUN;0.649826476;-0.0889274;363.2014721;5064632.5;-451575.5938;3838172
PALC;0.658029951;-0.051179977;916.8082889;5046810.5;-258521.4063;3879917.25
PALM;0.642438824;-0.062173831;403.1681218;5103162.5;-317692.625;3800688.25
PILA;0.667663604;-0.02250488;895.0097251;5014434;-112868.2891;3928203.25
POZO;0.669917972;-0.084636702;735.8800826;4988766.5;-423243.8438;3939355
ROND;0.641479136;-0.089770634;809.3439072;5096416.5;-458741.5;3796043.75
RUBI;0.67386018;-0.073243964;750.0532137;4977708.5;-365240.4688;3958989.5
SEVI;0.651805637;-0.104223314;102.770695;5049343.5;-528173.125;3848027.25
SFER;0.636422907;-0.108308914;84.22209984;5105519;-555145.6875;3769803.5
TALR;0.681290763;-0.091374743;498.9264291;4940565.5;-452703.5313;3995657.5
TGIL;0.663822718;-0.057640577;814.1327057;5022375;-289813.625;3908939.75
TIOU;0.539719216;-0.126452564;1395.736846;5433809;-690805.0625;3259350.5
UCAD;0.637597966;-0.10839357;65.10510083;5101039;-555095.5;3775798
UJAE;0.65952091;-0.066003504;527.927482;5036325;-332898.6563;3887177.5
VIAR;0.666151014;-0.052577548;746.5528974;5014599.5;-263898.5625;3920551.75
VICA;0.665278317;-0.053806037;852.3846826;5017778;-270247.5938;3916251.5
ZFRA;0.670660506;-0.111876255;587.4770072;4972357;-558621.25;3942964
